"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"132",="4138","曜亞","05/22","49.2","-0.15","-0.3","2018","46.6","3.77","3.4","0","3.4","7.3","0","7.3","90.2","0","90.2","18'09/13"
"133",="6641","基士德-KY","05/22","66.1","-0.9","-1.34","2018","61.4","4.81","3.01","0","3.01","4.9","0","4.9","62.6","0","62.6",""
"134",="1593","祺驊","05/22","47.15","0","0","2018","40.95","3.77","3.24","0","3.24","7.91","0","7.91","85.9","0","85.9","18'07/27"
"135",="2480","敦陽科","05/22","65.6","+0.2","+0.31","2018","38.25","2.56","2.62","0","2.62","6.85","0","6.85","102","0","102","18'07/19"
"136",="1338","廣華-KY","05/22","51.6","-1.2","-2.27","2018","75.1","9.25","5","0","5","6.66","0","6.66","54","0","54","18'07/31"
"137",="1436","華友聯","05/22","36.9","-0.1","-0.27","2018","36.6","3.15","2.5","0.5","3","6.83","1.37","8.2","79.4","15.9","95.2","18'09/17"
"138",="2464","盟立","05/22","36.9","-0.25","-0.67","2018","42","2.15","1.5","0","1.5","3.57","0","3.57","69.8","0","69.8","18'07/27"
"139",="1558","伸興","05/22","130.5","-2.5","-1.88","2018","135","8.68","8.5","0","8.5","6.3","0","6.3","97.9","0","97.9","18'08/10"
"140",="3090","日電貿","05/22","52","-0.7","-1.33","2018","52.9","3.5","2.5","0.7","3.2","4.73","1.32","6.05","71.4","20","91.4","18'09/03"
"141",="2883","開發金","05/22","8.93","-0.08","-0.89","2018","9.72","0.8","0.6","0","0.6","6.17","0","6.17","75","0","75","18'08/10"
"142",="2916","滿心","05/22","16.4","-0.1","-0.61","2018","17.2","1.32","1.2","0","1.2","6.98","0","6.98","90.9","0","90.9","18'07/18"
"143",="5015","華祺","05/22","35.8","0","0","2018","40.4","3.34","3.1","0","3.1","7.67","0","7.67","92.8","0","92.8","18'07/27"
"144",="9927","泰銘","05/22","29.85","-0.05","-0.17","2018","30.4","4.79","3","0","3","9.87","0","9.87","62.6","0","62.6","18'09/21"
"145",="3501","維熹","05/22","44.8","-0.55","-1.21","2018","51.2","4.46","3.2","0","3.2","6.25","0","6.25","71.8","0","71.8","18'08/28"
"146",="2606","裕民","05/22","28.4","-0.25","-0.87","2018","32.25","1.18","1.2","0","1.2","3.72","0","3.72","102","0","102","18'07/27"
"147",="2471","資通","05/22","21.3","-0.15","-0.7","2018","14.75","0.69","1","0","1","6.78","0","6.78","145","0","145","18'08/30"
"148",="3617","碩天","05/22","80","-1.5","-1.84","2018","77.3","7.11","5","0","5","6.47","0","6.47","70.3","0","70.3","18'08/16"
"149",="3044","健鼎","05/22","108.5","-1.5","-1.36","2018","79.8","8.31","5.25","0","5.25","6.58","0","6.58","63.2","0","63.2","18'08/17"
"150",="2397","友通","05/22","75","-0.7","-0.92","2018","64","3.65","4.2","0","4.2","6.56","0","6.56","115","0","115","18'08/10"
"151",="4987","科誠","05/22","48","+0.35","+0.73","2018","54.7","5.09","4.7","0","4.7","8.59","0","8.59","92.3","0","92.3","18'08/09"
"152",="6210","慶生","05/22","45.05","-0.4","-0.88","2018","28.7","4.16","3.5","0","3.5","12.2","0","12.2","84.1","0","84.1","18'09/14"
"153",="8435","鉅邁","05/22","50.4","0","0","2018","46.2","3.49","3.3","0","3.3","7.14","0","7.14","94.6","0","94.6","18'07/26"
